누적 ap : 0.5, ap : 0.5
누적 ap : 168.88339456310587, ap : 0.16666666666666666
누적 ap : 169.38339456310587, ap : 0.5
누적 ap : 169.38339456310587, ap : 0
누적 ap : 169.7167278964392, ap : 0.3333333333333333
누적 ap : 170.05006122977255, ap : 0.3333333333333333
누적 ap : 170.76434694405827, ap : 0.7142857142857143
누적 ap : 171.69490249961382, ap : 0.9305555555555556
누적 ap : 172.44490249961382, ap : 0.75
누적 ap : 173.44490249961382, ap : 1.0
누적 ap : 174.31990249961382, ap : 0.875
누적 ap : 174.71990249961382, ap : 0.4
누적 ap : 174.96990249961382, ap : 0.25
누적 ap : 175.63656916628048, ap : 0.6666666666666666
누적 ap : 176.63656916628048, ap : 1.0
누적 ap : 177.63656916628048, ap : 1.0
누적 ap : 178.23656916628047, ap : 0.6
누적 ap : 178.48656916628047, ap : 0.25
누적 ap : 178.8391332688446, ap : 0.35256410256410253
누적 ap : 179.4016332688446, ap : 0.5625
누적 ap : 179.4016332688446, ap : 0.0
누적 ap : 179.97306184027317, ap : 0.5714285714285714
누적 ap : 179.97306184027317, ap : 0
누적 ap : 180.17306184027316, ap : 0.2
누적 ap : 180.74449041170175, ap : 0.5714285714285714
누적 ap : 181.24449041170175, ap : 0.5
누적 ap : 181.5778237450351, ap : 0.3333333333333333
누적 ap : 182.41115707836843, ap : 0.8333333333333334
누적 ap : 182.91115707836843, ap : 0.5
누적 ap : 183.66115707836843, ap : 0.75
누적 ap : 184.41115707836843, ap : 0.75
누적 ap : 184.91115707836843, ap : 0.5
누적 ap : 185.16115707836843, ap : 0.25
누적 ap : 185.8278237450351, ap : 0.6666666666666666
누적 ap : 186.3278237450351, ap : 0.5
누적 ap : 186.3278237450351, ap : 0
누적 ap : 186.99449041170175, ap : 0.6666666666666666
누적 ap : 187.99449041170175, ap : 1.0
누적 ap : 188.74449041170175, ap : 0.75
누적 ap : 189.50449041170174, ap : 0.76
누적 ap : 189.83782374503508, ap : 0.3333333333333333
누적 ap : 190.08782374503508, ap : 0.25
누적 ap : 190.4878237450351, ap : 0.4
누적 ap : 191.1753237450351, ap : 0.6875
누적 ap : 191.77532374503508, ap : 0.6
누적 ap : 192.27532374503508, ap : 0.5
누적 ap : 192.54199041170176, ap : 0.26666666666666666
누적 ap : 192.95865707836842, ap : 0.41666666666666663
누적 ap : 192.95865707836842, ap : 0.0
누적 ap : 193.95865707836842, ap : 1.0
누적 ap : 194.45865707836842, ap : 0.5
누적 ap : 195.45865707836842, ap : 1.0
누적 ap : 196.0586570783684, ap : 0.6
누적 ap : 196.45865707836842, ap : 0.4
누적 ap : 196.45865707836842, ap : 0.0
누적 ap : 197.12532374503508, ap : 0.6666666666666666
누적 ap : 197.79199041170173, ap : 0.6666666666666666
누적 ap : 198.79199041170173, ap : 1.0
누적 ap : 199.34754596725728, ap : 0.5555555555555556
누적 ap : 200.01421263392393, ap : 0.6666666666666666
누적 ap : 200.51421263392393, ap : 0.5
누적 ap : 201.01421263392393, ap : 0.5
누적 ap : 201.51421263392393, ap : 0.5
누적 ap : 201.51421263392393, ap : 0.0
누적 ap : 202.01421263392393, ap : 0.5
누적 ap : 202.51421263392393, ap : 0.5
누적 ap : 202.71421263392392, ap : 0.2
누적 ap : 203.04754596725726, ap : 0.3333333333333333
누적 ap : 203.44754596725727, ap : 0.4
누적 ap : 203.56280570751701, ap : 0.11525974025974026
누적 ap : 204.06280570751701, ap : 0.5
누적 ap : 204.30090094561226, ap : 0.23809523809523808
누적 ap : 204.80090094561226, ap : 0.5
누적 ap : 204.9437580884694, ap : 0.14285714285714285
누적 ap : 204.9437580884694, ap : 0
누적 ap : 205.27709142180274, ap : 0.3333333333333333
누적 ap : 205.41994856465988, ap : 0.14285714285714285
누적 ap : 205.56280570751701, ap : 0.14285714285714285
누적 ap : 205.662805707517, ap : 0.1
누적 ap : 205.662805707517, ap : 0.0
누적 ap : 206.662805707517, ap : 1.0
누적 ap : 207.350305707517, ap : 0.6875
누적 ap : 208.350305707517, ap : 1.0
누적 ap : 208.350305707517, ap : 0
누적 ap : 208.96459142180274, ap : 0.6142857142857143
누적 ap : 209.45030570751703, ap : 0.4857142857142857
누적 ap : 209.95030570751703, ap : 0.5
누적 ap : 210.70030570751703, ap : 0.75
누적 ap : 211.10030570751704, ap : 0.4
누적 ap : 211.70030570751703, ap : 0.6
누적 ap : 212.03363904085037, ap : 0.3333333333333333
누적 ap : 212.57649618370752, ap : 0.5428571428571428
누적 ap : 212.57649618370752, ap : 0.0
누적 ap : 212.97649618370752, ap : 0.4
누적 ap : 213.7431628503742, ap : 0.7666666666666666
누적 ap : 214.2431628503742, ap : 0.5
누적 ap : 214.57649618370755, ap : 0.3333333333333333
누적 ap : 215.17649618370754, ap : 0.6
누적 ap : 215.50982951704088, ap : 0.3333333333333333
누적 ap : 216.00982951704088, ap : 0.5
누적 ap : 216.4384009456123, ap : 0.42857142857142855
누적 ap : 216.6884009456123, ap : 0.25
누적 ap : 216.6884009456123, ap : 0
누적 ap : 216.97411523132658, ap : 0.2857142857142857
누적 ap : 217.17411523132657, ap : 0.2
누적 ap : 217.67411523132657, ap : 0.5
누적 ap : 218.67411523132657, ap : 1.0
누적 ap : 219.24554380275515, ap : 0.5714285714285714
누적 ap : 220.24554380275515, ap : 1.0
누적 ap : 220.24554380275515, ap : 0.0
누적 ap : 220.74554380275515, ap : 0.5
누적 ap : 221.0788771360885, ap : 0.3333333333333333
누적 ap : 221.45030570751706, ap : 0.3714285714285714
누적 ap : 222.40030570751705, ap : 0.95
누적 ap : 222.7336390408504, ap : 0.3333333333333333
누적 ap : 223.40030570751705, ap : 0.6666666666666666
누적 ap : 223.90030570751705, ap : 0.5
누적 ap : 224.5669723741837, ap : 0.6666666666666666
누적 ap : 225.5669723741837, ap : 1.0
누적 ap : 226.3169723741837, ap : 0.75
누적 ap : 226.8169723741837, ap : 0.5
누적 ap : 227.8169723741837, ap : 1.0
누적 ap : 228.6578814650928, ap : 0.8409090909090909
누적 ap : 229.3778814650928, ap : 0.7200000000000001
누적 ap : 229.6278814650928, ap : 0.25
누적 ap : 230.18343702064834, ap : 0.5555555555555556
누적 ap : 230.58343702064835, ap : 0.4
누적 ap : 231.08343702064835, ap : 0.5
누적 ap : 231.250103687315, ap : 0.16666666666666666
누적 ap : 231.450103687315, ap : 0.2
누적 ap : 231.950103687315, ap : 0.5
누적 ap : 232.200103687315, ap : 0.25
누적 ap : 233.03683838119255, ap : 0.836734693877551
누적 ap : 234.03683838119255, ap : 1.0
누적 ap : 234.46540980976397, ap : 0.42857142857142855
누적 ap : 234.96540980976397, ap : 0.5
누적 ap : 235.46540980976397, ap : 0.5
누적 ap : 236.13207647643063, ap : 0.6666666666666666
누적 ap : 237.13207647643063, ap : 1.0
누적 ap : 237.79874314309728, ap : 0.6666666666666666
누적 ap : 237.79874314309728, ap : 0
누적 ap : 238.04874314309728, ap : 0.25
누적 ap : 238.54874314309728, ap : 0.5
누적 ap : 238.88207647643063, ap : 0.3333333333333333
누적 ap : 239.38207647643063, ap : 0.5
누적 ap : 240.01540980976395, ap : 0.6333333333333333
누적 ap : 240.51540980976395, ap : 0.5
누적 ap : 240.51540980976395, ap : 0
누적 ap : 241.26540980976395, ap : 0.75
누적 ap : 241.81540980976396, ap : 0.55
누적 ap : 242.21540980976397, ap : 0.4
누적 ap : 243.21540980976397, ap : 1.0
누적 ap : 243.7987431430973, ap : 0.5833333333333334
누적 ap : 244.19874314309732, ap : 0.4
누적 ap : 244.44874314309732, ap : 0.25
누적 ap : 244.44874314309732, ap : 0.0
누적 ap : 244.84874314309732, ap : 0.4
누적 ap : 244.84874314309732, ap : 0.0
누적 ap : 244.84874314309732, ap : 0
누적 ap : 245.01540980976398, ap : 0.16666666666666666
누적 ap : 245.51540980976398, ap : 0.5
누적 ap : 245.89040980976398, ap : 0.375
누적 ap : 246.6046955240497, ap : 0.7142857142857143
누적 ap : 246.8546955240497, ap : 0.25
누적 ap : 247.6046955240497, ap : 0.75
누적 ap : 248.6046955240497, ap : 1.0
누적 ap : 249.38247330182747, ap : 0.7777777777777778
누적 ap : 249.88247330182747, ap : 0.5
누적 ap : 250.88247330182747, ap : 1.0
누적 ap : 251.54913996849413, ap : 0.6666666666666666
누적 ap : 252.4658066351608, ap : 0.9166666666666666
누적 ap : 253.2158066351608, ap : 0.75
누적 ap : 253.9033066351608, ap : 0.6875
누적 ap : 254.6533066351608, ap : 0.75
누적 ap : 255.1533066351608, ap : 0.5
누적 ap : 255.81997330182745, ap : 0.6666666666666666
누적 ap : 256.01997330182746, ap : 0.2
누적 ap : 256.2533066351608, ap : 0.23333333333333334
누적 ap : 256.7533066351608, ap : 0.5
누적 ap : 256.7533066351608, ap : 0
누적 ap : 257.35330663516083, ap : 0.6
누적 ap : 257.85330663516083, ap : 0.5
누적 ap : 258.35330663516083, ap : 0.5
누적 ap : 258.47830663516083, ap : 0.125
누적 ap : 259.07830663516086, ap : 0.6
누적 ap : 260.07830663516086, ap : 1.0
누적 ap : 260.07830663516086, ap : 0.0
누적 ap : 261.07830663516086, ap : 1.0
누적 ap : 261.74497330182754, ap : 0.6666666666666666
누적 ap : 262.74497330182754, ap : 1.0
누적 ap : 263.74497330182754, ap : 1.0
누적 ap : 264.24497330182754, ap : 0.5
누적 ap : 265.07830663516086, ap : 0.8333333333333334
누적 ap : 266.07830663516086, ap : 1.0
누적 ap : 266.91163996849417, ap : 0.8333333333333334
누적 ap : 266.91163996849417, ap : 0.0
누적 ap : 267.41163996849417, ap : 0.5
누적 ap : 268.41163996849417, ap : 1.0
누적 ap : 268.7449733018275, ap : 0.3333333333333333
누적 ap : 269.41163996849417, ap : 0.6666666666666666
누적 ap : 269.59080663516085, ap : 0.17916666666666667
누적 ap : 270.09080663516085, ap : 0.5
누적 ap : 270.25747330182753, ap : 0.16666666666666666
누적 ap : 270.63247330182753, ap : 0.375
누적 ap : 270.7991399684942, ap : 0.16666666666666666
누적 ap : 271.1991399684942, ap : 0.4
누적 ap : 271.1991399684942, ap : 0
누적 ap : 271.3658066351609, ap : 0.16666666666666666
누적 ap : 271.6158066351609, ap : 0.25
누적 ap : 272.18723520658943, ap : 0.5714285714285714
누적 ap : 272.52056853992275, ap : 0.3333333333333333
누적 ap : 272.9955685399228, ap : 0.475
누적 ap : 273.66223520658946, ap : 0.6666666666666666
누적 ap : 274.46223520658947, ap : 0.8
누적 ap : 274.96223520658947, ap : 0.5
누적 ap : 275.24794949230375, ap : 0.2857142857142857
누적 ap : 275.8193780637323, ap : 0.5714285714285714
누적 ap : 276.3193780637323, ap : 0.5
누적 ap : 276.9193780637323, ap : 0.6
누적 ap : 276.9193780637323, ap : 0.0
누적 ap : 277.6693780637323, ap : 0.75
누적 ap : 278.01937806373235, ap : 0.35
누적 ap : 278.26937806373235, ap : 0.25
누적 ap : 278.60271139706566, ap : 0.3333333333333333
누적 ap : 279.35271139706566, ap : 0.75
누적 ap : 279.686044730399, ap : 0.3333333333333333
